question,answer
14) Use the following statements to answer this question: I. Political candidates need to know the geographical extent of the market for TV commercials in determining how to reach the target number of eligible voters with the smallest possible expenditure. II. The geographical extent of the market for gasoline in Texas will determine whether an oil company drills for oil there.,B
"15) Which of the following assertions, if proven true in a court of law, would help Archer-Daniels-Midland, a maker of corn syrup, in its attempt to acquire another corn syrup producer, the Clinton Corn Processing Company?",C
"16) Use the following statements to answer this question: I. If the extent of a market is broader, it is less likely that firms in the market can influence the market price. II. In determining whether two different products belong to the same market, it is necessary to know whether the two products can be used as substitutes for each other.",D
"17) Use the following statements to answer this question: I. The price for a given product may differ across sellers if the market is not perfectly competitive. II. A single ""market price"" does not exist in imperfectly competitive markets.",B
18) Suppose you are in charge of product pricing and marketing strategy for a pharmaceutical company. You will have greater ability to independently set prices for your product if:,A
"19) To arbitrage a price difference between two markets, you should:",B
21) Which of the following statement is FALSE?,D
"22) From Example 1.2 in the textbook, Pindyck and Rubinfeld distinguish between the mass market and dealer market for bicycles. Although there are many dealers in the U.S. and only a few mass merchandisers, we should expect the dealer market to be somewhat less competitive than the mass market. Why?",D
"23) Before their merger, XM and Sirius were competing sellers in the U.S. satellite radio market. The U.S. Department of Justice allowed the merger even though it created a single seller in the market. Why might we expect this merger to have limited impact on U.S. consumers?",A
"24) Suppose the price of crude oil is $95 per barrel in New York and $85 per barrel in Texas, and the transaction costs for trading between the two markets are $15 per barrel. What actions should you take to arbitrage this price difference?",D
25) A key factor that determines the geographic extent of a housing market is the distance that commuters are willing to travel from home to work. Which of the following events would NOT help to expand the geographic extent of the housing market in a metropolitan area?,B
"1) The ""constant dollar"" price is:",D
2) What does it mean when the CPI is higher this year than last?,B
3) The price of a taco was $0.29 in 1970 and $1.09 in 2000. The CPI was 38.8 in 1970 and 172.2 in 2000. The 2000 price of a taco in 1970 dollars is:,B
"4) Since last year, the price of gold has risen from $1100 to $1420. What annual inflation rate would leave the real price of gold unchanged over the last twelve months?",A
"5) Over the past year price inflation has been 10%, but the price of a used Ford Escort has fallen from $6,000 to $5,000. The real price of a Ford Escort has fallen by:",D
"6) Suppose the nominal price of gasoline was $0.90 per gallon in 1987. To convert this value to the real price of 1987 gasoline in 2012 dollars, we should:",B
"7) The nominal price of industrial red paint was $12 per gallon in 1993. To convert this value to the real price of paint in 2012 dollars, we should use the:",B
8) Which of the following goods is NOT a likely component of the Consumer Price Index?,C
9) Which price index published by the US federal government represents wholesale price changes?,B
"10) When 1983 is the CPI base year, the CPI value is 82.4 for 1980 and 172.2 for 2000. Suppose we want to convert this CPI series to have a base year of 2000 (that is, CPI2000 = 100). What is the value of the revised CPI for 1980?",C
"11) Use the following statements to answer this question: I. The inflation rate (the rate of change in the general price level) calculated from a price index like CPI is the same regardless of the base year we use to form the price index. II. Although the CPI may indicate the general price level increased by 5% last year, there are some consumer products that may have experienced more or less inflation in the past year.",A
12) Which price index published by the US federal government represents retail price changes?,A
"23) Suppose we expect consumer prices to increase by about 30 percent between 2010 and 2020, and the minimum wage was $7.25 per hour in 2010. What should be the minimum wage in 2020 if it is set to maintain the same purchasing power as in 2010?",B
"24) The ""core"" inflation rate is typically defined as the change in consumer prices for all goods included in the CPI basket except energy and food products. Suppose the overall inflation rate based on the CPI was 4 percent for the past year, and energy and food prices did not change during the year. Is the core inflation rate for the past year higher or lower than 4 percent?",A
"25) We can approximate the real return on an investment by subtracting the inflation rate from the nominal return on the investment. For example, an investment that returns 10% per year while inflation is 4% per year has a real (inflation adjusted) return of approximately 6%. Which of the following outcomes is NOT possible?",D
1) Which of the following is NOT an example of ways in which microeconomic analysis can help Toyota Motor Corporation its in corporate decision making?,D
2) Which of the following is NOT an example of a way in which microeconomic analysis can help in designing environmental policy?,C
"3) To evaluate the potential impact of changes to its SUV business, Ford Motor Company would use:",B
4) The Clean Air Act is designed to restrict automobile emissions and reduce the external costs of air pollution. The economic analysis used to develop the Clean Air Act was:,A
"5) To evaluate the potential impact of introducing the hybrid Prius auto into the U.S. market, Toyota Motor Corporation would use:",A
6) The Corporate Average Fuel Economy (CAFE) standards are designed to improve the average fuel economy of cars and light trucks sold in the U.S. The economic analysis used to develop the CAFE standards was:,C
