type,stem,options,answer,knowledge,analysis
,,"A. Many sellers with small economies of scale
B. A few sellers with large economies of scale
C. One seller with large economies of scale
D. Many sellers with large economies of scale",B,,
,,"A. Consume less of both goods
B. Consume more of both goods
C. Consume more of one and less of the other
D. Consume the same amount of both goods",B,,
,,"A. Law of supply
B. Law of increasing returns
C. Law of demand
D. Law of diminishing returns",C,,
,,"A. Price fixing
B. Price ceiling
C. Price floor
D. Price discrimination",D,,
,,"A. Tariff
B. Subsidy
C. Embargo
D. Quota",D,,
,,"A. Single-step income statement
B. Multi-step income statement
C. Common-size income statement
D. Comparative income statement",A,,
,,"A. Accounts receivable
B. Construction in progress
C. Gross profit
D. Retained earnings",A,,
,,"A. -$145,000
B. -$90,000
C. -$55,000
D. $490,000",A,,
,,"A. Discontinued operations
B. Extraordinary items
C. Continuing operations
D. Comprehensive income",A,,
,,"A. $19,000,000
B. $26,000,000
C. $41,000,000
D. $67,000,000",A,,
,,"A. $80,000
B. $120,000
C. $40,000
D. $600,000",C,,
,,"A. -$35,000
B. -$50,000
C. $10,000
D. -$25,000",B,,
,,"A. Net cash from operations = $24
B. Net cash from operations = $22
C. Net cash from operations = $20
D. Net cash from operations = $18",D,,
,,"A. 20.0%
B. 28.6%
C. 33.3%
D. 60.0%",B,,
,,"A. Interest expense per dollar of sales increased
B. Net sales increased
C. Interest expense per dollar of sales declined
D. Net income increased",C,,
,,"A. $2.44
B. $1.74
C. $1.22
D. $0.87",B,,
,,"A. $6.41
B. $5.32
C. $5.88
D. $6.19",B,,
,,"A. There is no substantive difference between the handling of preferred stock dividends and convertible bond interest in EPS computations.
B. Preferred stock dividends are added back when computing diluted EPS.
C. Convertible bond interest is ignored in diluted EPS calculations.
D. Preferred stock dividends are treated as an expense in computing net income.",A,,
,,"A. Issuing new common stock
B. Reacquiring treasury stock
C. Converting convertible bonds
D. Exercising stock options",B,,
,,"A. Antidilutive securities are excluded from both EPS and Diluted EPS.
B. Antidilutive securities are included only in basic EPS.
C. Antidilutive securities are included only in diluted EPS.
D. Antidilutive securities are included in both basic and diluted EPS.",A,,
,,"A. LIFO ending inventory is lower than average cost by \(57,046.
B. LIFO ending inventory is higher than average cost by \)57,046.
C. LIFO and average cost yield identical ending inventory values.
D. Average cost ending inventory is higher than LIFO by \(57,046.",B,,
,,"A. 20.0%
B. 18.5%
C. 22.0%
D. 25.0%",A,,
,,"A. A decline in the LIFO reserve occurs when prices fall or inventory is liquidated.
B. LIFO reserves are amortized over the life of the inventory.
C. LIFO reserves increase when inventory quantities decline.
D. LIFO reserves are unaffected by price changes.",A,,
,,"A. \)7 million
B. \(23 million
C. \)39 million
D. \(16 million",A,,
,,"A. \(600,000 increase
B. \)600,000 decrease
C. \(1,333,333 increase
D. No change",A,,
,,"A. Operating income decreases by \(19,000,000 in 2001 and increases in 2002.
B. Operating income increases by \)19,000,000 in 2001.
C. No effect on operating income.
D. Operating income decreases by \(2,000,000 in 2001.",A,,
,,"A. \(2,259
B. \)1,559
C. \(780
D. \)5,070",A,,
,,"A. \(1,559
B. \)780
C. \(2,259
D. \)5,070",B,,
,,"A. \)4,158
B. \(3,118
C. \)2,078
D. \(5,198",A,,
,,"A. \)600,000 current tax expense and \(1,000,000 deferred tax liability.
B. \)1,600,000 current tax expense and no deferred tax.
C. \(1,000,000 current tax expense and \)600,000 deferred tax liability.
D. \(22.86% effective tax rate with \)1,000,000 deferred tax liability.",D,,
,,"A. 12.8%
B. 13.5%
C. 10.0%
D. 15.0%",B,,
,,"A. \(7,613,538
B. \)845,949
C. \(8,354,051
D. \)380,177",C,,
,,"A. 2.6
B. 3.4
C. 1.9
D. 4.1",A,,
,,"A. The CFO has an agency relationship unless she owns 100% of the firm.
B. Bondholders benefit from high-risk projects.
C. Fixed salaries align manager and shareholder goals.
D. Agency conflict is eliminated by risky projects.",A,,
,,"A. 8.75 %
B. 9.49 %
C. 10.12 %
D. 11.30 %",B,,
,,"A. Increasing the flotation cost of new common equity
B. Issuing more debt to change the capital structure
C. Reducing the firm’s operating risk
D. Changing the dividend payout ratio through dividend policy",D,,
,,"A. Replacement projects are independent so both old and new assets can be kept.
B. A negative change in net working capital always represents a cash outflow.
C. If cash flows are not adjusted for inflation while WACC is inflation-adjusted, NPV will be biased downward.
D. The correct decision rule is to pick the project with the lowest positive NPV.",D,,
,,"A. The project with the highest unadjusted NPV should always be selected.
B. The project with the highest IRR should always be selected.
C. The project with the highest Equivalent Annual Annuity (EAA) will have the highest adjusted NPV and should be selected.",C,,
,,"A. Investors view a stock repurchase as a negative signal and a stock issue as a positive signal.
B. A proponent of the clientele effect and a believer in the bird-in-hand theory would have similar views on dividend policy.
C. Investors view a stock repurchase as a positive signal and a stock issue as a negative signal.",C,,
,,"A. 25 % debt, 75 % equity
B. 30 % debt, 70 % equity
C. 40 % debt, 60 % equity",C,,
,,"A. Alba’s margin-call price is $46.85 and Lubis’s is $33.00
B. Alba’s margin-call price is $33.00 and Lubis’s is $46.85
C. Both Alba and Lubis have the same margin-call price
D. Neither Alba nor Lubis will receive a margin call",C,,
,,"A. Seasoned issues are offered in the primary market
B. Shares of firms making seasoned issues are already publicly traded
C. Seasoned issues reduce systematic risk for existing shareholders
D. Stop-buy orders are often used to protect short sales",D,,
,,"A. Short sellers must eventually repurchase the stock
B. Short sellers lose if stock prices rise
C. Short sellers profit from falling prices
D. Short selling involves unlimited upside potential",D,,
,,"A. The Value Line Composite is an unweighted geometric-average index
B. The DJIA is a price-weighted index with a downward bias after stock splits
C. The S&P 500 is a market-cap-weighted index
D. Unweighted indexes always yield higher returns than price-weighted indexes",D,,
,,"A. Global diversification can eliminate systematic risk
B. Systematic risk is undiversifiable
C. Transaction costs can be reduced by concentrating in illiquid stocks
D. Turnover reduction always increases taxes",B,,
,,"A. Filter-rule tests fail to produce abnormal returns
B. Professional managers consistently beat the market
C. Insiders earn abnormal returns
D. Stock prices react slowly to public announcements",A,,
,,"A. Increase in dividend payout (lower retention)
B. Increase in expected inflation
C. Increase in risk-free rate
D. Decrease in expected inflation",D,,
,,"A. $30
B. $35
C. $40
D. $45",D,,
,,"A. Low-cost leadership
B. Differentiation
C. Vertical integration
D. Focus (cost or differentiation)",C,,
,,"A. Macroeconomic outlook
B. Industry trends
C. Firm-specific fundamentals
D. Management quality",A,,
,,"A. True
B. False",A,,
,,"A. True
B. False",A,,
,,"A. True
B. False",A,,
,,"A. 51.4 %
B. 60.0 %
C. 43.3 %
D. 103.3 %",A,,
,,"A. −0.750 %
B. −7.50 %
C. +0.750 %
D. +7.50 %",C,,
,,"A. clean price
B. ex-coupon price
C. dirty price
D. flat price",C,,
,,"A. $562
B. $438
C. $1 000
D. $0",A,,
,,"A. 8.65 %
B. 10.00 %
C. 5.70 %
D. 7.00 %",A,,
,,"A. −10 bp
B. 0 bp
C. 10 bp
D. 280 bp",C,,
,,"A. 5.09
B. 5.09
C. 5.09
D. 5.09",B,,
,,"A. The call buyer’s upside is capped at $5
B. The call buyer has unlimited upside potential
C. The call writer’s gain is unlimited
D. The covered call profit line is Line X",C,,
,,"A. The SML will shift upward
B. The SML will rotate clockwise
C. The SML will experience a downward parallel shift
D. The SML slope will increase",C,,
,,"A. The real Risk-Free Rate = [(1 + nominal Risk-free Rate)] − 1
B. The real Risk-Free Rate = nominal Rate − inflation
C. The real Risk-Free Rate = (1 + nominal) / (1 + inflation) − 1
D. The real Risk-Free Rate = nominal Rate + inflation",A,,
,,"A. Asset allocation drives 85–95 % of portfolio return
B. Security selection dominates returns
C. Market timing is the main return driver
D. Asset allocation has minimal impact",A,,
,,"A. Banks have high liquidity needs and short time horizons
B. Pension funds are state-regulated
C. Property/Casualty insurers have longer horizons than life insurers
D. Endowments are federally regulated",A,,
,,"A. Markowitz first recognized no perfect positive/negative correlation
B. The efficient frontier is linear
C. Portfolio C is optimal for Investor X
D. Investor Y is more risk-averse than Investor X",A,,
,,"A. Select Rockaway because correlation < 1
B. Diversify equally between both
C. Select Bridgeport because correlation = 1
D. Select Bridgeport because correlation = 1",D,,
,,"A. The market portfolio has no unsystematic risk
B. The CML never kinks
C. The CML measures systematic risk only
D. The SML measures total risk",A,,
,,"A. Portfolio Y is undervalued
B. Portfolio Z is overvalued
C. Portfolio Y’s ER cannot be 15 %
D. Portfolio X is overvalued",C,,
,,"A. Separation theorem simplifies to stock picking
B. Separation theorem separates investment vs financing decisions
C. Separation theorem simplifies portfolio construction
D. Zero-beta securities earn the market return",C,,
,,"A. APT assumes only one risk factor
B. APT is a single-factor model
C. APT allows multiple risk factors
D. APT prohibits short sales",C,,
,,"A. –10.737%
B. –11.712%
C. –20.00%
D. –9.55%",B,,
,,"A. Global diversification is most valuable when markets are volatile.
B. Correlations between markets tend to increase as market volatility increases.
C. Foreign-exchange risk is the primary driver of rising cross-market correlations.
D. Rising correlations occur mainly when markets are rising.",B,,
,,"A. a free-market economy.
B. a centrally planned economy.
C. a traditional market economy.
D. a mixed economy.",B,,
,,"A. land, labour, money, and intelligence.
B. labour, money, entrepreneurship, and factories.
C. labour, intelligence, capital, and entrepreneurship.
D. land, labour, capital and entrepreneurship.",D,,
,,"A. labour
B. capital
C. intelligence
D. entrepreneurship",A,,
,,"A. labour.
B. capital.
C. money.
D. land.",D,,
,,"A. land.
B. labour.
C. capital.
D. entrepreneurship.",C,,
,,"A. a haircut
B. a mobile phone bill
C. a motorbike
D. a university degree",C,,
,,"A. a car
B. a watch
C. a bag
D. insurance",D,,
,,"A. a consumer.
B. an inventor.
C. a creator.
D. a producer.",D,,
,,"A. consumption.
B. production.
C. combustion.
D. fusion.",A,,
,,"A. A measure in money terms of the alternatives given up.
B. A measure of gain expressed as alternatives given up.
C. A measure of costs expressed as alternatives given up.
D. A measure of gain in money terms.",C,,
,,"A. B and C
B. A and B
C. A and D
D. C and D",C,,
,,"A. A and B
B. B and C
C. C and D
D. A and D",B,,
,,"A. A
B. B
C. C
D. D",D,,
,,"A. becomes steeper.
B. becomes flatter.
C. turns a corner.
D. has a decreasing angle.",A,,
,,"A. the opportunity cost of $X$ relative to $Y$ increases as more of $X$ is given up to get $X$.
B. the opportunity cost of $Y$ relative to $X$ increases as more of $Y$ is given up to get more $X$.
C. nothing happens to opportunity cost.
D. the opportunity cost of $Y$ relative to $X$ decreases as less of $Y$ is given up to get more $X$.",B,,
,,"A. minimizers.
B. selfish.
C. clever.
D. maximizers.",D,,
,,"A. misery.
B. well being.
C. intelligence.
D. profits.",B,,
,,"A. well being.
B. production.
C. profits.
D. losses.",C,,
,,"A. a command economy.
B. a mixed economy.
C. a pure market economy.
D. a traditional economy.",A,,
,,"A. Tax should be used to help the poor.
B. Technical change is a bad thing because it puts some people out of work.
C. More should be done to reduce unemployment.
D. The government is more concerned with inflation than unemployment.",D,,
,,"A. An increase in the money supply will reduce inflation.
B. Inflation is a monetary phenomenon.
C. High income tax rates discourage effort.
D. Tax levels should be reduced.",D,,
,,"A. An exogenous variable is a variable that is explored within a theory.
B. An exogenous variable influences endogenous variables but is itself determined by factors outside the theory.
C. An exogenous variable is influenced by endogenous variables.
D. An exogenous variable is a constant within a theory.",B,,
,,"A. 86.2
B. 116.1
C. 20.3 cents
D. 108.6",A,,
,,"A. £1.00
B. 140
C. 1.6
D. 71.4",B,,
,,"A. A functional relationship cannot be expressed using a schedule.
B. An algebraic statement should not be used to express a functional relationship.
C. A geometrical statement is not used to express a functional relationship.
D. None of the above statements is correct.",D,,
,,"A. $y$ is a function of $C$.
B. $y$ and $f$ are a function of $C$.
C. $C$ is a function of $y$.
D. $C$ is a function of both $y$ and f.",C,,
,,"A. The slope of a straight line shows how fast one variable is changing as the other variable changes.
B. The slope of a straight line is defined as the amount of change in the variable measured on the vertical or $y$ axis per unit change in the variable measured on the horizontal or $x$ axis.
C. The slope of a straight line shows the marginal effect of a one-unit increase.
D. The slope of a straight line is defined as the amount of change in the variable measured on the horizontal or $x$ axis per unit change in the variable measured on the vertical or $y$ axis.",D,,
,,"A. Cross-section graphs show observations taken at different times.
B. Time-series graphs show observations on two variables taken over time.
C. Scatter diagrams show different points, each one of which shows observations on two different variables.
D. None of the above statements is correct.",C,,
,,"A. has a negative slope when both variables decrease.
B. has a negative slope when both variables increase.
C. has a negative slope when one variable decreases as the other increases.
D. has a negative slope when one variable disagrees with the other.",C,,
,,"A. house prices are rising.
B. house prices are falling.
C. we do not know what is happening to house prices.
D. house prices were falling faster recently.",A,,
,,"A. motive
B. physical relationships
C. conditions of application
D. predictions",D,,
,,"A. linear.
B. non-linear.
C. both linear and non-linear.
D. neither linear nor non-linear.",B,,
,,"A. There has been a marginal increase in pollution of 1,500 tonnes.
B. There has been a marginal increase in pollution of 11.5%.
C. There has been a marginal decrease in pollution of 11%.
D. There has been a marginal decrease in pollution of 1000 tonnes.",D,,
,,"A. the $x$ variable shows large responses to small changes in the $y$ variable.
B. the slope of the tangent is always negative.
C. the slope of the tangent is always positive.
D. the slope of the tangent is always zero.",D,,
,,"A. 'Marginal' means on the margin or border.
B. 'Marginal' refers to what will happen when there is a small change from the present position.
C. The change in $Y$ when $X$ is changed by a small amount is referred to as 'the marginal value of $Y$'.
D. At the marginal value, the slope of the tangent is always zero.",D,,
,,"A. Both of these statements are incorrect.
B. Both of these statements are correct.
C. Only (i) is correct.
D. Only (ii) is correct.",B,,
,,"A. The marginal value of $Y$ at some initial value of $X$ is the rate of change of $Y$ per unit change in $X$, as $X$ changes from its initial value.
B. The marginal value is given by the slope of the tangent to the curve graphing the function at the point corresponding to the initial value of $X$.
C. The incremental ratio $\Delta Y / \Delta X$ measures the average change in $Y$ per unit change in $X$ over a range of the function starting from an initial value of $X$.
D. As the range of measurements of the incremental ratio is reduced, the value of the incremental ratio gets further from the marginal value of $Y$.",D,,
,,"A. A precise realization of a general theory, with a specific numerical relationship in place of each general relationship posited by the theory.
B. An application of a general theory to a specific case.
C. An untested hypothesis of a general theory.
D. A simplified set of relationships designed to study one specific force in isolation.",C,,
,,"a) has a declining slope.
b) has a negative slope.
c) has a slope of zero.
d) has a positive slope.",c,,
,,"a) 123.
b) 106.3.
c) 112.6.
d) 94.",b,,
,,"a) A university lecturer's salary.
b) The output of a power station.
c) The number of houses in London.
d) The number of houses built in London this year.",c,,
,,"a) raise both the equilibrium price of films and the equilibrium quantity of films sold.
b) reduce both the equilibrium price of films and the equilibrium quantity of films sold.
c) raise the equilibrium price of films and reduce the equilibrium quantity of films sold.
d) reduce the equilibrium price of films and raise the equilibrium quantity of films sold.",b,,
,,"a) The individual's income.
b) The price of the product.
c) The marginal cost of the product.
d) The individual's wealth.",c,,
,,"a) other things being equal.
b) other things being considered.
c) all things considered.
d) among other things.",a,,
,,"a) £100.
b) 7.3 per cent.
c) 10 per cent.
d) 12.6 per cent.",d,,
,,"a) the average consumer's demand curve.
b) the vertical sum of individual consumers' demand curves.
c) the horizontal sum of individual consumers' demand curves.
d) the area under an individual consumer's demand curve.",c,,
,,"a) a shift in the demand curve.
b) a move along the demand curve.
c) both a shift in the demand curve and a move along it.
d) none of the above.",a,,
,,"a) become steeper.
b) become shallower.
c) shift to the right.
d) shift to the left.",d,,
,,"a) become steeper.
b) remain unchanged.
c) shift to the right.
d) shift to the left.",c,,
,,"a) raise both the equilibrium price and equilibrium quantity.
b) reduce both the equilibrium price and equilibrium quantity.
c) raise equilibrium price and reduce equilibrium quantity.
d) reduce equilibrium price and raise equilibrium quantity.",c,,
,,"a) Consumers' incomes.
b) The price of the product.
c) The prices of inputs to the product.
d) The state of technology.",a,,
,,"a) there is excess demand.
b) there is excess supply.
c) the market needs to adjust to reach equilibrium.
d) none of the above is true.",d,,
,,"a) be steeper
b) be further to the right
c) be further to the left
d) not change",b,,
,,"a) price on the vertical axis and income on the horizontal axis.
b) price on the vertical axis and quantity on the horizontal axis.
c) quantity on the vertical axis and income on the horizontal axis.
d) quantity on the vertical axis and price on the horizontal axis.",b,,
,,"a) demand, supply, fall
b) demand, supply, rise
c) supply, demand, rise
d) both (a) and (c)",b,,
,,"a) will never be stable.
b) will normally be unstable.
c) will always be stable.
d) will never exist.",c,,
,,"a) £1.
b) 3 per cent.
c) 6.8 per cent.
d) 10 per cent.",c,,
,,"a) A shift in the demand curve.
b) A move along the demand curve.
c) Both a shift in the demand curve and a move along it.
d) A shift in the supply curve.",b,,
,,"a) raise both the equilibrium price and equilibrium quantity.
b) reduce both the equilibrium price and equilibrium quantity.
c) raise equilibrium price and reduce equilibrium quantity.
d) reduce equilibrium price and raise equilibrium quantity.",a,,
,,"a) raise both the equilibrium price of carpets and the equilibrium quantity of carpets sold.
b) reduce both the equilibrium price of carpets and the equilibrium quantity of carpets sold.
c) raise the equilibrium price of carpets and reduce the equilibrium quantity of carpets sold.
d) reduce the equilibrium price of carpets and raise the equilibrium quantity of carpets sold.",a,,
,,"a) become steeper.
b) become shallower.
c) shift to the right.
d) shift to the left.",c,,
,,"a) set by the government.
b) set by a supplier who then sees what quantity is demanded at that price.
c) set by a supplier who then negotiates with individual purchasers.
d) none of the above.",b,,
,,"a) Bus tickets and paving stones.
b) Public transport in London and Miami.
c) Wheat in the European Union and the USA.
d) None of the above.",d,,
,,"a) shift the demand curve for meat to the left.
b) have no effect on the demand curve for meat.
c) make the demand curve for meat steeper.
d) shift the demand curve for meat to the right.",d,,
,,"a) shift the demand curves for both beef and chicken to the left.
b) shift the demand curve for beef to the left and the demand curve for chicken to the right.
c) shift the demand curve for beef to the right and the demand curve for chicken to the left.
d) shift the demand curves for both beef and chicken to the right.",b,,
,,"a) the demand for coffee beans was greater than the supply of coffee beans.
b) the supply of coffee beans was greater than the demand for coffee beans.
c) demand increased faster than the supply of coffee beans increased.
d) the crop of coffee beans was poor.",b,,
,,"a) quantity demanded does not change when income changes.
b) quantity demanded rises at the same rate as income.
c) quantity demanded rises at a faster rate than income.
d) quantity demanded rises at a slower rate than income.",d,,
,,"a) willing buyers.
b) willing sellers.
c) both willing buyers and willing sellers.
d) government intervention to determine prices.",c,,
,,"a) the percentage change in price divided by the percentage change in quantity demanded of cinema visits.
b) the percentage change in price divided by the percentage change in quantity demanded of museum visits.
c) the percentage change in quantity demanded divided by the percentage change in price of cinema visits.
d) the percentage change in quantity demanded divided by the percentage change in the price of museum visits.",d,,
,,"a) -0.43.
b) -0.44.
c) -0.40.
d) -0.88.",b,,
,,"a) are desirable because they can sell all the coffee they produce.
b) undesirable because regular consumers of coffee will choose to drink tea.
c) undesirable because their income is likely to fall.
d) undesirable because their income is likely to increase.",c,,
,,"a) -0.55.
b) 0.55.
c) -0.33.
d) none of the above.",c,,
,,"a) the cross-elasticity of demand is 0.20.
b) the price elasticity of demand is 0.20.
c) the cross-elasticity of demand is - 0.20.
d) the price elasticity of demand is - 0.20.",a,,
,,"a) pricing—people economise on the use of the scarce resource, so those who value it most highly will be its most frequent users.
b) rationing—shop staff are able to sell the limited goods to their preferred customers.
c) pricing—people waste the scarce resource, so those who value it least will be its most frequent users.
d) rationing—the government is in the best position to determine who should have the good.",a,,
,,"a) taxing production
b) subsidising consumption
c) imposing quality standards
d) reshuffling the ministerial team",d,,
,,"a) measures imposed by producer groups.
b) market forces.
c) legislation to regulate the price of a good.
d) measures imposed by consumer groups.",c,,
,,"a) would have increased.
b) would not have changed.
c) would have decreased.
d) would have become more unstable as time passed.",c,,
,,"a) led to an increase in the demand for non-tunnel journeys.
b) led to a decrease in the price of non-tunnel cross-Channel journeys because the supply of cross-Channel journeys had increased.
c) led to a decrease in the price of non-tunnel cross-Channel journeys because the demand for non-tunnel cross-Channel journeys had decreased.
d) led to an increase in the price of non-tunnel cross-Channel journeys because the demand for cross-Channel journeys was unchanged.",c,,
,,"a) a binding price ceiling, with or without rationing.
b) a binding price floor, with or without rationing.
c) street trading.
d) a binding price floor, without rationing.",a,,
,,"a) only if demand is greater than supply at a negative price.
b) only if supply equals or exceeds demand at zero price.
c) only if supply is less than demand at zero price.
d) only if demand is greater than supply at a positive price.",b,,
,,"a) the level of demand at the disequilibrium price.
b) the level of supply at the disequilibrium price.
c) the lesser of the quantity demanded and the quantity supplied at that price.
d) the greater of the quantity supplied and the quantity demanded at that price.",c,,
,,"a) the quantity demanded at that price.
b) the quantity supplied at that price.
c) the greater of the quantity supplied and the quantity demanded at the price.
d) none of the above.",a,,
,,"a) will keep prices below a maximum level.
b) will have no effect.
c) is the price that will prevail in the market.
d) is none of the above.",b,,
,,"a) the price floor is above the equilibrium price.
b) supply is greater than demand.
c) the price ceiling is set above the market equilibrium price.
d) the price ceiling is set below the market equilibrium price.",d,,
,,"a) unplanned fluctuations in output lead to smaller fluctuations in price than would happen if demand were elastic.
b) unplanned fluctuations in output lead to greater fluctuations in price than would happen if demand were elastic.
c) unplanned fluctuations in output lead to no fluctuations in price.
d) none of the above is true.",b,,
,,"a) increase the price of a cross-Channel trip.
b) reduce the price of a cross-Channel trip.
c) take legal action against the government.
d) go on strike.",b,,
,,"a) a reduction in producers' revenues.
b) an increase in consumers' surplus.
c) an increase in producers' revenues.
d) a reduction in total surplus.",c,,
,,"a) selling stock when output is high, and buying stock when output unexpectedly falls short.
b) buying stock when output is high, and selling stock when output unexpectedly falls short.
c) buying stock when output is low, and selling stock when output is unexpectedly high.
d) selling stock when output is high, and selling stock when output unexpectedly falls short.",b,,
,,"a) is inelastic.
b) is elastic.
c) is unit elastic.
d) is perfectly inelastic.",c,,
,,"A. EU farmers.
B. taxpayers and consumers within the EU.
C. efficient foreign producers.
D. all of the above.",A,,
,,"A. elastic.
B. inelastic.
C. unit elastic.
D. perfectly inelastic.",A,,
,,"A. $+5$
B. -5
C. +2
D. -0.5",D,,
,,"A. 60.
B. 140.
C. 160.
D. 260.",B,,
,,"A. Elasticity is zero if quantity demanded is unchanged when price changes.
B. Elasticity is zero if quantity demanded responds by a negative amount to a change in price.
C. Elasticity is zero if quantity demanded responds by a positive amount to a change in price.
D. None of the above is true.",A,,
,,"A. elastic.
B. inelastic.
C. unit elastic.
D. perfectly inelastic.",B,,
,,"A. can be illustrated with a vertical demand curve.
B. can be illustrated with a horizontal demand curve.
C. has a value of infinity.
D. has a value of one.",A,,
,,"A. can be illustrated with a vertical demand curve.
B. can be illustrated with a horizontal demand curve.
C. has a value of zero.
D. has a value of one.",B,,
,,"A. the change in quantity demanded divided by the change in price.
B. the percentage change in price divided by the percentage change in demand.
C. the percentage change in demand divided by the percentage change in price.
D. the change in price divided by the change in demand.",C,,
,,"A. Nokia mobile phones
B. Unleaded petrol
C. Playstation 2
D. White wine",B,,
,,"A. Food
B. Water
C. Cigarettes
D. Beer",D,,
,,"A. -0.05.
B. -0.5.
C. $+5$ .
D. -5.",A,,
,,"A. a positive elasticity.
B. a negative elasticity.
C. the higher elasticity.
D. the lower elasticity.",D,,
,,"A. elastic.
B. inelastic.
C. unit elastic.
D. perfectly inelastic.",C,,
,,"A. an inelastic, elastic
B. an elastic, inelastic
C. a perfectly inelastic, perfectly elastic
D. an elastic, unitary",B,,
,,"A. zero.
B. unity.
C. elastic.
D. inelastic.",C,,
,,"A. a zero elasticity.
B. an infinite elasticity.
C. unit elasticity.
D. a positive elasticity.",A,,
,,"A. How easily producers can shift from the production of other products to the one whose price has risen.
B. The length of time over which the response is measured.
C. How costs respond to output changes.
D. How tastes react to changes in output.",D,,
,,"A. £10.
B. £90.
C. £110.
D. -£10.",C,,
,,"A. the demand curve only.
B. the supply curve only.
C. both the demand and supply curves.
D. neither the supply nor the demand curve.",B,,
